Identification of Establishment,Region,Total Annual Sales in Fiscal Year,Permanent Full-time Workers,Total Annual Cost of Labor,Total Annual Cost of Electricity,Number of Highly Skilled Jobs Worker,Top Manager's Experience in Sector,log of Firm Performance per Worker,log of Labor Cost per Worker,log of Electricity Cost per Worker,log of Number of High Skilled Workers,log of Experience of Top Manager,log of Firm Age,"Owners of the firm females (Yes=1, No=0)","Top Manager Female (Yes=1, No=0)","Have an internationally recognized quality certification? (Yes=1, No=0)","Establishment experience power outages (Yes=1, No=0)","Does this establishment have its own website or social media page? (Yes=1, No=0)","Inspected by tax officials (Yes=1, No=0)","Has current or savings account (Yes=1, No=0)","Have an over-draft facility (Yes=1, No=0)","Have a line of credit (Yes=1, No=0)","Inadequately educated workforce (Yes=1, No=0)","Business licensing and permits (Yes=1, No=0)","Corruption (Yes=1, No=0)","Access to land (Yes=1, No=0)","Political instability (Yes=1, No=0)","Access to finance (Yes=1, No=0)","Electricity (Yes=1, No=0)","Practices of competitors in the informal sector  (Yes=1, No=0)","Tax administration  (Yes=1, No=0)","Labor regulations  (Yes=1, No=0)","Tax rates  (Yes=1, No=0)","Customs and trade regulations  (Yes=1, No=0)","Transport (Yes=1, No=0)","Courts (Yes=1, No=0)","Crime, theft and disorder (Yes=1, No=0)"
862431,Rajshahi,24000000,7,650000,300000,2,8,15.04765428,11.43881903,10.66563094,1.098612289,2.197224577,1.945910149,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
862432,Rajshahi,1500000,5,600000,36000,5,15,12.61153842,11.69524869,8.881864082,1.791759469,2.772588722,3.33220451,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862433,Dhaka MA,8000000,20,2400000,120000,18,10,12.89921995,11.69524744,8.699523082,2.944438979,2.397895273,4.189654742,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862434,Sylhet,12000000,35,4480000,600000,22,20,12.74506923,11.75978577,9.749338539,3.135494216,3.044522438,3.526360525,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862435,Khulna,13000000,15,1600000,1200000,11,8,13.67240979,11.57746461,11.28978275,2.48490665,2.197224577,2.302585093,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862437,Rajshahi,9200000,20,2640000,200000,2,30,13.03898188,11.79055758,9.210345372,1.098612289,3.433987204,3.871201011,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862438,Rajshahi,480000,4,650000,300000,1,40,11.69524911,11.99843482,11.22524673,0.693147181,3.713572067,3.496507561,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862439,Chattogram,7500000,12,1300000,1300000,1,45,13.34550706,11.59296894,11.59296894,0.693147181,3.828641396,3.63758616,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862440,Dhaka MA,500000,3,732000,60000,1,20,12.02375309,12.40492487,9.903504219,0.693147181,3.044522438,3.135494216,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862441,Dhaka MA,900000,10,1150000,60000,6,15,11.40756606,11.65268828,8.699531415,1.945910149,2.772588722,2.564949357,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
862443,Dhaka MA,15000000,85,11200000,720000,5,18,12.08090957,11.78877317,9.044356623,1.791759469,2.944438979,2.890371758,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862444,Dhaka MA,8000000,12,2400000,75000,4,16,13.41004557,12.20607306,8.740350076,1.609437912,2.833213344,3.713572067,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862445,Rajshahi,38000000,130,17160000,350000,50,48,12.58556229,11.79055726,7.89815684,3.931825633,3.891820298,4.060443011,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862446,Dhaka MA,12000000,25,4048000,90000,15,30,13.08154147,11.99485791,8.188700235,2.772588722,3.433987204,3.33220451,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862447,Rajshahi,2700000,8,1050000,150000,4,20,12.72932116,11.78486013,9.838955698,1.609437912,3.044522438,3.091042453,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862449,Greater Dhaka,13000000,65,8040000,600000,52,32,12.20607272,11.7255525,9.130299331,3.970291914,3.496507561,2.63905733,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862450,Greater Dhaka,15000000,30,3870000,120000,15,50,13.12236344,11.76756794,8.294057973,2.772588722,3.931825633,3.871201011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862451,Greater Dhaka,36000000,55,5456000,300000,30,30,13.39169634,11.50489348,8.604207902,3.433987204,3.433987204,3.33220451,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862452,Rajshahi,1800000,20,1000000,60000,3,45,11.4075655,10.81977928,8.006384234,1.386294361,3.828641396,3.583518938,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862454,Greater Dhaka,9000000,25,2400000,360000,22,20,12.79385942,11.47210389,9.574986263,3.135494216,3.044522438,3.218875825,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862455,Greater Dhaka,8500000,30,3600000,600000,29,35,12.55437946,11.6952473,9.903489219,3.401197382,3.583518938,3.526360525,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862456,Greater Dhaka,50000000,20,4200000,500000,18,15,14.73180131,12.25486305,10.1266331,2.944438979,2.772588722,2.708050201,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862457,Khulna,30000000,15,1600000,180000,14,25,14.50865777,11.57746461,9.392667484,2.708050201,3.258096538,3.555348061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862459,Rajshahi,4000000,32,3700000,480000,7,8,11.73606927,11.65810775,9.615807563,2.079441542,2.197224577,3.583518938,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862460,Greater Dhaka,10000000,20,3500000,600000,20,12,13.12236348,12.07254154,10.30895433,3.044522438,2.564949357,2.564949357,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862461,Greater Dhaka,5000000,10,2050000,110000,6,25,13.12236358,12.23076575,9.305659643,1.945910149,3.258096538,3.135494216,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862462,Dhaka MA,60000000,35,2000000,4800000,30,10,14.35450708,10.95331018,11.82877862,3.433987204,2.397895273,2.708050201,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862463,Greater Dhaka,2300000,6,700000,250000,5,30,12.85666065,11.66707757,10.63746073,1.791759469,3.433987204,2.63905733,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862464,Greater Dhaka,15000000,14,1800000,760000,14,29,13.8845035,11.76424045,10.9020177,2.708050201,3.401197382,3.401197382,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862465,Greater Dhaka,5200000,8,1000000,600000,7,15,13.38472783,11.73607002,11.22524506,2.079441542,2.772588722,2.708050201,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862468,Greater Dhaka,48000000,35,5250000,1500000,38,25,14.13136353,11.91839076,10.66562827,3.663561646,3.258096538,3.258096538,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862469,Greater Dhaka,40000000,24,7200000,1700000,19,25,14.32633621,12.61153789,11.16808557,2.995732274,3.258096538,3.044522438,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862470,Chattogram,1000000000,400,48240000,4800000,250,40,14.73180129,11.70023458,9.392662137,5.525452939,3.713572067,3.433987204,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862471,Greater Dhaka,20000000,15,2400000,840000,10,15,14.10319268,11.98292951,10.93310816,2.397895273,2.772588722,2.079441542,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862472,Rajshahi,3000000,12,1320000,60000,1,3,12.42921653,11.6082364,8.517209858,0.693147181,1.386294361,3.496507561,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862473,Chattogram,9000000,20,2456000,240000,15,20,13.01700297,11.7183127,9.392666095,2.772588722,3.044522438,2.890371758,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862474,Dhaka MA,1000000,4,1500000,72000,4,22,12.4292172,12.83468197,9.798140926,1.609437912,3.135494216,2.48490665,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862475,Dhaka MA,180000000,400,80000000,3000000,200,12,13.01700287,12.20607266,8.922658633,5.303304908,2.564949357,2.833213344,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862476,Rajshahi,200000000,700,94000000,10000000,400,18,12.56274759,11.80772502,9.567015416,5.993961427,2.944438979,2.944438979,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862477,Khulna,50000000,70,7500000,180000,50,35,13.47903834,11.58191847,7.852222443,3.931825633,3.583518938,3.583518938,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862478,Rajshahi,6000000,30,3500000,200000,30,35,12.20607281,11.66707643,8.804880264,3.433987204,3.583518938,3.496507561,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862479,Dhaka MA,7000000,21,2560000,300000,16,40,12.71689841,11.71099577,9.567018649,2.833213344,3.713572067,2.48490665,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862480,Greater Dhaka,32000000,14,2080000,600000,20,12,14.64218916,11.9088216,10.66562927,3.044522438,2.564949357,3.135494216,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862482,Dhaka MA,1100000000,2000,312700000,4000000,50,40,13.21767356,11.95985237,7.60090271,3.931825633,3.713572067,3.688879454,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
862483,Greater Dhaka,86000000,358,38000000,2500000,200,18,12.38932488,11.57256376,8.851268703,5.303304908,2.944438979,2.944438979,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862484,Dhaka MA,12500000,30,2275000,150000,9,10,12.9400419,11.23629367,8.517199858,2.302585093,2.397895273,3.33220451,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862485,Chattogram,30000000,12,1500000,600000,6,19,14.73180132,11.73606968,10.81977995,1.945910149,2.995732274,2.772588722,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862486,Greater Dhaka,410000000,590,85000000,3600000,550,20,13.45154518,11.87803929,8.716322144,6.311734809,3.044522438,3.135494216,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862487,Greater Dhaka,85000000,90,17000000,1000000,40,7,13.75835216,12.14891429,9.315701888,3.713572067,2.079441542,1.791759469,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862488,Dhaka MA,740000000,800,110000000,2400000,50,30,13.73754902,11.83137921,8.006367984,3.931825633,3.433987204,2.995732274,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862490,Dhaka MA,330000000,500,70000000,2400000,40,30,13.39999512,11.84939772,8.476371614,3.713572067,3.433987204,3.135494216,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862491,Dhaka MA,5000000000,660,69000000,3600000,360,15,15.84046391,11.55737724,8.604204846,5.888877958,2.772588722,2.63905733,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862492,Rajshahi,1400000,13,1050000,60000,11,20,11.58703415,11.29935232,8.43716715,2.48490665,3.044522438,3.135494216,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862493,Dhaka MA,3200000,5,854000,90000,1,20,13.36922377,12.04824973,9.798138148,0.693147181,3.044522438,3.555348061,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862496,Chattogram,170000000,450,38500000,2400000,250,25,12.84206142,11.35692124,8.581732129,5.525452939,3.258096538,2.890371758,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862497,Rajshahi,18000000,25,3200000,120000,20,34,13.48700655,11.75978586,8.47637953,3.044522438,3.555348061,3.555348061,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862498,Chattogram,100000000,110,17000000,1200000,100,32,13.72020039,11.9482436,9.297352582,4.615120517,3.496507561,2.833213344,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862499,Greater Dhaka,500000000,850,91000000,1560000,500,59,13.28488231,11.58113373,7.514960671,6.216606101,4.094344562,3.135494216,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862500,Greater Dhaka,120000000,550,68000000,1800000,300,27,12.29308403,11.7251,8.0933795,5.707110265,3.33220451,2.772588722,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862501,Dhaka MA,750000000,1200,150000000,2400000,60,27,13.34550693,11.73606902,7.600902876,4.110873864,3.33220451,2.890371758,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862502,Dhaka MA,15000000,5,600000,30000,0,20,14.91412291,11.69524869,8.699548081,0,3.044522438,1.945910149,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862503,Chattogram,3500000,12,1000000,70000,6,28,12.58336716,11.33060491,8.671358157,1.945910149,3.36729583,2.772588722,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862504,Dhaka MA,9500000,21,2562000,300000,10,20,13.02228002,11.71177671,9.567018649,2.397895273,3.044522438,3.135494216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862507,Chattogram,450000000,160,23000000,5200000,120,32,14.84958433,11.875831,10.38899556,4.795790546,3.496507561,3.465735903,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862508,Greater Dhaka,75000000,65,7875000,900000,30,40,13.95861141,11.7048166,9.535763884,3.433987204,3.713572067,3.713572067,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862509,Rajshahi,500000,5,500000,48000,4,26,11.51292746,11.51292746,9.169539211,1.609437912,3.295836866,3.871201011,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862510,Rajshahi,3200000,7,1400000,84000,1,32,13.03275153,12.20607336,9.392673833,0.693147181,3.496507561,3.218875825,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862511,Greater Dhaka,2400000,16,1600000,960000,1,30,11.91839099,11.51292609,11.00210088,0.693147181,3.433987204,4.143134726,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862512,Chattogram,120000000,140,18000000,1800000,20,36,13.66135989,11.76423995,9.461655356,3.044522438,3.610917913,3.433987204,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862513,Dhaka MA,2200000,6,496000,18000,0,14,12.8122089,11.32257375,8.006423122,0,2.708050201,2.890371758,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862514,Dhaka MA,220000000,4,15000000,25000000,0,40,17.82284375,15.13726646,15.64809206,0,3.713572067,4.343805422,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
862515,Khulna,20000000,60,4600000,410000,14,50,12.71689832,11.24722252,8.829570315,2.708050201,3.931825633,3.931825633,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862516,Chattogram,150000000,150,15720000,3600000,11,35,13.81551056,11.55980911,10.08580939,2.48490665,3.583518938,4.17438727,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
862517,Dhaka MA,120000000,40,6000000,1500000,3,16,14.91412285,11.91839074,10.53209688,1.386294361,2.833213344,3.258096538,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862521,Chattogram,30000000,5,4200000,200000,1,35,15.60727006,13.64115741,10.59663973,0.693147181,3.583518938,3.583518938,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862522,Khulna,80000000,8,8000000,1000000,2,30,16.11809566,13.81551068,11.73607002,1.098612289,3.433987204,3.496507561,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862523,Dhaka MA,125000000,190,26540000,3000000,5,50,13.39680023,11.84713955,9.667099108,1.791759469,3.931825633,4.248495242,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
862524,Rajshahi,50610528900,1925,9876875140,270000000,1556,42,17.08474423,15.45078077,11.85125127,7.350516172,3.761200116,4.17438727,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
862525,Rajshahi,40000000,100,10000000,800000,35,50,12.89921985,11.51292556,8.987198071,3.583518938,3.931825633,3.218875825,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862526,Rajshahi,48000000,50,6000000,180000,5,25,13.77468858,11.69524719,8.18869468,1.791759469,3.258096538,3.912023005,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862527,Greater Dhaka,160000000,287,46780000,3600000,180,20,13.23120216,12.00148412,9.436962465,5.198497031,3.044522438,3.044522438,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862528,Khulna,120000000,20,23800000,900000,13,35,15.60727004,13.98946391,10.71441888,2.63905733,3.583518938,3.610917913,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862529,Khulna,202789243,20,2500000,100000,10,4,16.13194552,11.73606942,8.517203191,2.397895273,1.609437912,3.526360525,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862531,Chattogram,35000000,20,15000000,36000,10,20,14.37512637,13.52782855,7.495569721,2.397895273,3.044522438,3.33220451,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862532,Khulna,120000000,26,20000000,3000000,4,42,15.34490577,13.55314634,11.65602664,1.609437912,3.761200116,3.36729583,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862533,Rajshahi,7000000,18,2500000,200000,5,8,12.87104909,11.84142993,9.315705888,1.791759469,2.197224577,3.135494216,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862534,Sylhet,7000000,35,1800000,300000,8,22,12.20607279,10.84794972,9.056193025,2.197224577,3.135494216,2.708050201,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862535,Sylhet,150000000,40,4000000,400000,15,13,15.1372664,11.51292571,9.210342872,2.772588722,2.63905733,3.044522438,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862536,Sylhet,160000000,40,3500000,6000000,15,20,15.20180493,11.37939436,11.91839074,2.772588722,3.044522438,2.890371758,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862537,Khulna,50000000,5,2000000,24000,0,42,16.11809567,12.89922033,8.476412863,0,3.761200116,3.761200116,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862539,Sylhet,170000000,40,5000000,400000,15,20,15.26242955,11.73606922,9.210342872,2.772588722,3.044522438,3.761200116,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862540,Khulna,250000000,43,4500000,720000,35,20,15.57577136,11.55838806,9.725807764,3.583518938,3.044522438,3.044522438,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862541,Khulna,30000000,30,5200000,168000,13,3,13.81551059,12.06297199,8.630527829,2.63905733,1.386294361,3.401197382,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862542,Dhaka MA,250000000,500,35000000,200000,130,20,13.12236338,11.15625055,5.991469547,4.875197323,3.044522438,2.708050201,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
862543,Chattogram,840000000,130,15500000,8690000,78,25,15.681378,11.6888162,11.11014916,4.369447852,3.258096538,3.218875825,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862545,Sylhet,18000000,30,2423000,100000,18,13,13.30468499,11.29932003,8.111738083,2.944438979,2.63905733,3.761200116,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862546,Rajshahi,70000000,230,26000000,1500000,120,18,12.62592651,11.63552783,8.782897024,4.795790546,2.944438979,3.33220451,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862547,Khulna,40000000,100,9750000,600000,20,5,12.89921985,11.48760776,8.699516415,3.044522438,1.791759469,2.397895273,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
862548,Greater Dhaka,8000000,22,3146000,60000,16,40,12.80390977,11.87060023,7.911074054,2.833213344,3.713572067,3.761200116,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862549,Greater Dhaka,9000000,25,2980000,1500000,23,25,12.79385942,11.68855837,11.00210051,3.17805383,3.258096538,3.63758616,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862550,Khulna,3000000,5,480000,24000,1,30,13.30468527,11.47210555,8.476412863,0.693147181,3.433987204,3.295836866,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862551,Chattogram,8000000,20,2630000,180000,10,25,12.89921995,11.78676251,9.104985412,2.397895273,3.258096538,3.496507561,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862552,Rajshahi,7000000,12,2600000,150000,6,26,13.2765142,12.28611574,9.43349059,1.945910149,3.295836866,3.295836866,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862553,Chattogram,600000,9,360000,24000,5,4,11.10746202,10.59663751,7.888626198,1.791759469,1.609437912,3.135494216,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
